"cluster","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","predicted_cell_type"
"0",0,1.24694432342265,0.437,0.318,0,"ANXA1","CD8+ T-cells"
"0",0,2.77632366462808,0.148,0.029,0,"PCED1B","CD8+ T-cells"
"0",0,3.37233092258788,0.131,0.013,0,"GPR171","CD8+ T-cells"
"0",0,1.84676065281807,0.257,0.139,0,"HLA-DMA","CD8+ T-cells"
"0",0,2.46987723681173,0.16,0.044,0,"RNF166","CD8+ T-cells"
"0",0,1.89509767129154,0.209,0.093,0,"CBLB","CD8+ T-cells"
"0",0,1.81242616837094,0.241,0.125,0,"CCNH","CD8+ T-cells"
"0",0,2.5210174679239,0.157,0.041,0,"STK10","CD8+ T-cells"
"0",0,1.34021992338479,0.367,0.251,0,"RNASET2","CD8+ T-cells"
"0",0,3.00572708400981,0.136,0.021,0,"ARHGAP25","CD8+ T-cells"
"0",0,2.08693224079131,0.164,0.049,0,"SERPINB9","CD8+ T-cells"
"0",0,3.30349953682192,0.129,0.014,0,"PRKCB","CD8+ T-cells"
"0",0,1.55636241113473,0.242,0.127,0,"ARID5A","CD8+ T-cells"
"0",0,2.64804842129954,0.148,0.033,0,"MFNG","CD8+ T-cells"
"0",0,1.57002327667566,0.256,0.142,0,"USP15","CD8+ T-cells"
"0",0,2.98806045421421,0.131,0.017,0,"PLEK","CD8+ T-cells"
"0",0,3.30307013180324,0.128,0.014,0,"P2RY10","CD8+ T-cells"
"0",0,0.414977859768725,0.461,0.348,0,"MTRNR2L12","CD8+ T-cells"
"0",0,3.38028920492625,0.127,0.014,0,"S1PR4","CD8+ T-cells"
"0",0,3.07833070907026,0.13,0.017,0,"NCF4","CD8+ T-cells"
"0",0,3.22625517771504,0.126,0.013,0,"CYTH4","CD8+ T-cells"
"0",0,1.55877223365318,0.242,0.129,0,"SLFN5","CD8+ T-cells"
"0",0,2.68158962590494,0.145,0.033,0,"GIMAP2","CD8+ T-cells"
"0",0,0.138845255220058,0.272,0.384,0,"ZFAND5","CD8+ T-cells"
"0",0,2.59065909734625,0.164,0.053,0,"FCER1G","CD8+ T-cells"
"0",0,2.93744694813475,0.135,0.024,0,"POU2F2","CD8+ T-cells"
"0",0,3.35291164550702,0.125,0.014,0,"CTLA4","CD8+ T-cells"
"0",0,3.43515486563022,0.123,0.012,0,"PDE3B","CD8+ T-cells"
"0",0,1.1577099795658,0.67,0.559,0,"KLF6","CD8+ T-cells"
